SMILES,molar_mass,log_p_sat,c,volatility
C=C(C)C(CCO)C(=O)OO,160.1678,-3.5331323796458904,0.01893101205081886,IVOC
CC(=O)C1(CC(CO)C1(C)C)OO,188.2209,-6.4089353929735005,2.9611707716098214e-05,SVOC
C1=CC(=O)C(C(C1=O)O)OO,158.1088,-5.8696662315049934,8.610350137378938e-05,SVOC
Cc1ccc(cc1C)OO,138.1638,-2.4145392704914994,0.21457839876116067,IVOC
CC(=CCO)CO,102.1317,-3.772113295386327,0.006962709354863867,IVOC
CC(=CC(=O)OO)C(=O)C=O,158.1088,-1.422508200162775,2.4108980384660996,IVOC
CC(=O)OON(=O)=O,121.0489,1.3159703454569178,1010.7929262687078,VOC
CC(=O)CC(C(C)(C)O)O,146.1843,-2.7594507517174,0.10260794316611702,IVOC
Cc1cc(c(c(c1C)O)O)N(=O)=O,183.1614,-2.958607314841775,0.081275124012952,IVOC
CCC(=O)C=C(C)C1C(CC)(C(=O)OO)O1,228.2417,-4.761953896871205,0.0015928397963017947,IVOC
CCC(=O)C(=O)C(C1C(C=O)O1)O,186.162,-4.531652669587842,0.0022078490005043552,IVOC
CC(=O)CC(C)OO,118.1311,-2.4828041020500256,0.15678017584254003,IVOC
CC1(C)CC2C1CCC1(C)OC(CCC2=O)OO1,254.3221,-5.950781977329818,0.0001149034648861731,SVOC
C(C(Cl)(Cl)Cl)O,149.4036,-1.0545314148681804,5.315702274337708,VOC
CC(C)(C)CCOO,118.1742,-1.3872161432802643,1.9545083445300524,IVOC
CCC1(C=O)C(C)(C(=O)OON(=O)=O)O1,219.1489,-2.0619809025237896,0.7664598217500252,IVOC
C(=O)C(C(CON(=O)=O)OO)O,181.1009,-2.653647025549361,0.16218272168755415,IVOC
CCCC(CC(=O)CC)OO,160.2108,-3.600326278518962,0.01622170546747681,IVOC
CC(O)OC(C)(C)C,118.1742,-1.489454989793388,1.5445383015310648,IVOC
CC(=O)C(C=O)(CO)O,132.1146,-2.1804560644581312,0.35174323298210936,IVOC
COCC=O,74.0785,0.6364878963533654,129.39308797029045,VOC
CC(CC(C=O)O)O,118.1311,-2.557520230935552,0.13200033042061868,IVOC
C(CC(=O)OO)CO,120.1039,-2.5072396109731625,0.1506775327472277,IVOC
CC(C)C1C(=O)C(C(=O)O1)ON(=O)=O,203.1495,-3.3635121036466344,0.03548417033905995,IVOC
CCCCCC(CC)OO,146.2273,-2.283162276700476,0.3073245013594433,IVOC
CC(=O)OC(C)(C)COO,148.1571,-2.0,0.5976590083390604,IVOC
C=C(C)C1CCC(C)(C(C1)O)O,170.2487,-4.6252516539898965,0.001627657979501782,IVOC
