compound,SMILES
137,C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(O))C(=O)
138,C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(=O))C(=O)
139,C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(O))C(=O)
140,C(=O)(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O)
141,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)
142,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(O)
143,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OO)
144,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OON(=O)(=O))
145,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O)(O))C(=O)
146,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O))C(=O)
147,C(=O)(N(=O)(=O))C(=O)C1(C)OOC(OO)(C1(=O))C(=O)
148,C(=O)(N(=O)(=O))C(=O)C1(N(=O)(=O))OOC(OO)(C(=O))C1(O)C
149,C(=O)(N(=O)(=O))C(=O)C1(O)OOC(ON(=O)(=O))(C(=O))C1(O)C
150,C(=O)(N(=O)(=O))C(=O)C1(O)OOC(OO)(C(=O))C1(O)C
151,C(=O)(N(=O)(=O))C(=O)C1(O)OOC(OO)(C1(O))C(=O)
152,C(=O)(N(=O)(=O))C(=O)C1(OO)OOC(OO)(C(=O))C1(O)C
153,C(=O)(N(=O)(=O))C(=O)C1OC1C(=O)C(OO)
154,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)
155,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(O)
156,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OO)
157,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OON(=O)(=O))
158,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)C(ON(=O)(=O))
159,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(O))C(=O)
160,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(OO))C(=O)
161,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)
162,C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)C(ON(=O)(=O))
163,C(=O)(N(=O)(=O))C(=O)C1OOC(OO)(C1(=O))C(=O)
164,C(=O)(N(=O)(=O))C(=O)C1OOC(OO)(C1(O))C(=O)(OON(=O)(=O))
165,C(=O)(N(=O)(=O))C(=O)CC(=O)(O)
166,C(=O)(N(=O)(=O))C(=O)CC(=O)(OO)
167,C(=O)(N(=O)(=O))C(=O)CC(=O)C(=O)C(=O)(O)
168,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C(OO))C(=O)(OON(=O)(=O))
169,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(O)
170,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OO)
171,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OON(=O)(=O))
172,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(O)
173,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OO)
174,C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OON(=O)(=O))
175,C(=O)(N(=O)(=O))C(=O)CC(=O)C(OO)
176,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)
177,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)
178,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)(O)
179,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)C(ON(=O)(=O))
180,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)C(OO)
181,C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(OO)
182,C(=O)(N(=O)(=O))C(=O)CC(C(=O)(O))OOC(=O)
183,C(=O)(N(=O)(=O))C(=O)CC(O)C(=O)
184,C(=O)(N(=O)(=O))C(=O)CC1(C(ON(=O)(=O)))OOC(=O)C1(=O)
185,C(=O)(N(=O)(=O))C(=O)CC1(C(OO))OOC(=O)C1(=O)
186,C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(ON(=O)(=O))
187,C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(OO)
188,C(=O)(N(=O)(=O))C(=O)CC1(ON(=O)(=O))OOC(=O)C1(O)C(OO)
189,C(=O)(N(=O)(=O))C(=O)OC(=O)
190,C(=O)(N(=O)(=O))C(=O)OC(=O)(O)
191,C(=O)(N(=O)(=O))C(=O)OC(=O)C
192,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)(OO)
193,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C
194,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C(OO)
195,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C(O))C(=O)(O)
196,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)
197,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)(O)
198,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)
199,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(=O)(O))C(=O)
203,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(ON(=O)(=O)))C(=O)
204,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(OO))C(=O)
205,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C)C(=O)
210,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)(O)
212,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)C(ON(=O)(=O))
214,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))(C)C(=O)
217,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))C(=O)C
220,C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(OO)(C)C(=O)(O)
230,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=C(N(=O)(=O))C(=O)(O)
231,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)
232,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)(O)
236,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)(O)
238,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)C(=O)(O)
239,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))=CC(=O)(O)
241,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))C(=O)C(=O)(O)
243,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))=CC(=O)(O)
245,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))C(=O)
247,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)=CC(=O)(O)
252,C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)C(=O)C(=O)(O)
256,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O)(OO))C(O)C(=O)(O)
260,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O))C(OO)C(=O)
262,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O)
265,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O)C(=O)(O)
271,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(ON(=O)(=O)))C(=O)C(=O)
276,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(OO))C(=O)C(=O)(O)
280,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(=O)
288,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O)
289,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O)(O)
292,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(ON(=O)(=O))C(=O)
297,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(O)
298,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(OO)
300,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(N(=O)(=O))C(O)C(=O)(O)
303,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O)
307,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O)C(OO)
309,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(=O)(O)
310,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(ON(=O)(=O))
314,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(OO))C(=O)
316,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C)C(=O)(O)
319,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(N(=O)(=O))C(=O)(O)
325,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)C(=O)C(OO)
327,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C(O))C(=O)
330,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O)
332,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O)(OO)
337,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C(O))C(=O)
342,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C)C(=O)(O)
348,C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)C(=O)(OON(=O)(=O))
356,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C(ON(=O)(=O)))C(O)C(=O)(O)
366,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(O)
367,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(OO)
382,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)(C)C(=O)(O)
386,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)C(=O)(O)
389,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(ON(=O)(=O))(C)C(=O)(OO)
392,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C(O))C(=O)(O)
393,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)
394,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)(O)
395,C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(OO)(C)C(=O)(OO)
404,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C(O))C(O)C(=O)(O)
407,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(=O)
409,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(=O)C(=O)
411,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)(C)C(O)C(=O)
418,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)=CC(=O)
423,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(=O)C(ON(=O)(=O))
424,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(C(=O)(O))C(=O)
428,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)
430,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)(OO)
431,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(O)(C)C(=O)(OON(=O)(=O))
440,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(ON(=O)(=O))C(=O)(OO)
441,C(=O)(N(=O)(=O))C(=O)OC(=O)C(OO)C(OO)
446,C(=O)(N(=O)(=O))C(=O)OC(=O)C=C(C(O))C(=O)(O)
448,C(=O)(N(=O)(=O))C(=O)OC(=O)C=C(C(O))C(=O)(OON(=O)(=O))
450,C(=O)(N(=O)(=O))C(=O)OC(=O)C=C(C(OO))C(=O)
462,C(=O)(N(=O)(=O))C(=O)OC(=O)CC(=O)C(=O)
465,C(=O)(N(=O)(=O))C(=O)OC(N(=O)(=O))(OO)
475,C(=O)(N(=O)(=O))C(=O)OC(O)(C)C(=O)(OO)
479,C(=O)(N(=O)(=O))C(=O)OC(O)C(C(O))=CC(=O)(OO)
483,C(=O)(N(=O)(=O))C(=O)OC(O)C(C(OO))=CC(=O)(O)
486,C(=O)(N(=O)(=O))C(=O)OC(O)C(C)=CC(=O)(OO)
495,C(=O)(N(=O)(=O))C(=O)OC(O)C(OO)C(C(=O)(OO))=C
499,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(=O)(O))C(ON(=O)(=O))
500,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(=O)(O))C(OO)
504,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(O))C(=O)(OON(=O)(=O))
505,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(ON(=O)(=O)))C(=O)(OO)
506,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(OO))C(=O)(OO)
507,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C(OO))C(=O)(OON(=O)(=O))
508,C(=O)(N(=O)(=O))C(=O)OC(O)C=C(C)C(=O)(OO)
511,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(=O)(O))C(O)C(O)C(=O)(O)
515,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(=O)(OO))C=CC(=O)(O)
527,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(O))C(O)C(OO)C(=O)(O)
528,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(O))C(ON(=O)(=O))C(=O)
535,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(O))C=CC(=O)(OO)
537,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(ON(=O)(=O)))C(=O)
542,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(ON(=O)(=O)))CC(=O)(O)
544,C(=O)(N(=O)(=O))C(=O)OC(OO)(C(OO))C(ON(=O)(=O))C(=O)
557,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(=O)C(O)C(=O)(O)
565,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(=O)
570,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(=O)C(=O)(O)
571,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(=O)C(=O)(OO)
574,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(O)C(=O)(O)
576,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(ON(=O)(=O))C(=O)
580,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(O)C(OO)C(=O)(O)
587,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(ON(=O)(=O))C(=O)C(=O)(OO)
596,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(ON(=O)(=O))C(OO)C(=O)(OO)
598,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(OO)C(=O)
603,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(OO)C(ON(=O)(=O))C(=O)(O)
604,C(=O)(N(=O)(=O))C(=O)OC(OO)(C)C(OO)C(ON(=O)(=O))C(=O)(OO)
